"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"stm",0.0104540164140476,0.0104540164140476,0.0104540164140476,0.000673707674308879,0.10219437368166,0.458333333333333,0.126725630933447,164.431703755239,6.04998588562012,"posterior","spectral",NA,NA,NA,"baseline",20,1094480484
"gscamm",0.145970956248681,0.208457326421192,0.145970956248681,0.00380009797205123,0.883815278348778,0.680555555555556,1.72231883259107,189.919531031464,2.76243734359741,"structural","kmeans",38,TRUE,NA,"baseline",21,1594351602
"gscamm_boot",0.145970956248681,0.208457326421192,0.145970956248681,0.00380009797205123,0.970116692123395,1,22.8816351343874,189.919531031464,1000.10884690285,"structural","kmeans",38,TRUE,NA,"baseline",21,1594351602
"lda",0.10545287391607,0.10545287391607,0.10545287391607,0.00396494879942798,1.13143983575134,0.0694444444444444,0.236417344278609,160.736766680098,33.7115259170532,"posterior","random_dirichlet",NA,NA,NA,"baseline",21,1594351602
"stm",0.00935978406631374,0.00935978406631374,0.00935978406631374,0.000479740574104133,0.0635868299321741,0.694444444444444,0.127032654775059,159.864143374387,6.90701508522034,"posterior","spectral",NA,NA,NA,"baseline",21,1594351602
"gscamm",0.119555188727347,0.198199749780728,0.119555188727347,0.00366710639292889,0.62398945529992,0.833333333333333,1.7399850366107,213.098395015918,2.38872051239014,"structural","kmeans",36,TRUE,NA,"baseline",22,1866559661
"gscamm_boot",0.119555188727347,0.198199749780728,0.119555188727347,0.00366710639292889,0.738018123944352,1,23.2146765255632,213.098395015918,1049.36194396019,"structural","kmeans",36,TRUE,NA,"baseline",22,1866559661
"lda",0.082372208462005,0.082372208462005,0.082372208462005,0.00377109372110469,0.672154993523655,0.166666666666667,0.197241994441691,184.162304140069,42.5477812290192,"posterior","random_dirichlet",NA,NA,NA,"baseline",22,1866559661
"stm",0.0110968231233868,0.0110968231233868,0.0110968231233868,0.000625620648297214,0.0963592280335738,0.361111111111111,0.116179634719287,183.218288930663,7.15044331550598,"posterior","spectral",NA,NA,NA,"baseline",22,1866559661
"gscamm",0.152988766049544,0.195897120370792,0.152988766049544,0.00357704515117438,0.887690807235164,0.666666666666667,1.8012505973265,181.787076095645,2.09596610069275,"structural","kmeans",42,TRUE,NA,"baseline",23,351996125
"gscamm_boot",0.152988766049544,0.195897120370792,0.152988766049544,0.00357704515117438,0.888091548237801,1,24.7113760447551,181.787076095645,989.098869085312,"structural","kmeans",42,TRUE,NA,"baseline",23,351996125
"lda",0.134033750212294,0.134033750212294,0.134033750212294,0.00460549326101825,1.25835413478975,0.125,0.254750947707607,158.890921784323,39.0727207660675,"posterior","random_dirichlet",NA,NA,NA,"baseline",23,351996125
"stm",0.00861958896352761,0.00861958896352761,0.00861958896352761,0.00075744866020653,0.0696686190729344,0.625,0.128897163871964,153.979531394647,5.93908786773682,"posterior","spectral",NA,NA,NA,"baseline",23,351996125
"gscamm",0.148896902306305,0.255361710786788,0.148896902306305,0.00502800727779212,0.695339865715013,0.833333333333333,1.81916380122134,203.342652839307,2.31699013710022,"structural","kmeans",43,TRUE,NA,"baseline",24,1841056617
"gscamm_boot",0.148896902306305,0.255361710786788,0.148896902306305,0.00502800727779212,0.890339756698644,1,24.0882921788382,203.342652839307,958.718862533569,"structural","kmeans",43,TRUE,NA,"baseline",24,1841056617
"lda",0.106152629159056,0.106152629159056,0.106152629159056,0.00313610420900542,0.939153682292385,0.0277777777777778,0.220250562640398,175.026644662445,61.5485374927521,"posterior","random_dirichlet",NA,NA,NA,"baseline",24,1841056617
"stm",0.0106876592762664,0.0106876592762664,0.0106876592762664,0.000631068050895745,0.0775423085054147,0.430555555555556,0.0989683106439904,174.911735639409,8.24108648300171,"posterior","spectral",NA,NA,NA,"baseline",24,1841056617
"gscamm",0.116786984944962,0.19897877461442,0.116786984944962,0.00376930748821098,0.609181477191191,0.833333333333333,1.79289509381054,207.217299104686,3.97823619842529,"structural","kmeans",76,TRUE,NA,"baseline",25,82525317
"gscamm_boot",0.116786984944962,0.19897877461442,0.116786984944962,0.00376930748821098,0.626774745353648,1,24.2056733588198,207.217299104686,999.040113449097,"structural","kmeans",76,TRUE,NA,"baseline",25,82525317
"lda",0.0847381218804579,0.0847381218804579,0.0847381218804579,0.0037744451721941,1.02194148708359,0.194444444444444,0.228442651984432,181.073119936918,64.6325583457947,"posterior","random_dirichlet",NA,NA,NA,"baseline",25,82525317
"stm",0.0145043398542125,0.0145043398542125,0.0145043398542125,0.000910414283366711,0.114487744167293,0.333333333333333,0.105561380117423,180.479968199927,7.51267886161804,"posterior","spectral",NA,NA,NA,"baseline",25,82525317
"gscamm",0.158487423780528,0.2082649678222,0.158487423780528,0.00400905430470095,0.905945571329259,0.638888888888889,1.59670695806614,188.096608915476,2.33370399475098,"structural","kmeans",50,TRUE,NA,"baseline",26,2026414573
"gscamm_boot",0.158487423780528,0.2082649678222,0.158487423780528,0.00400905430470095,0.800198984538368,1,19.3829191081753,188.096608915476,1039.08612322807,"structural","kmeans",50,TRUE,NA,"baseline",26,2026414573
"lda",0.090767194988653,0.090767194988653,0.090767194988653,0.00312178724781677,1.01932916922641,0.125,0.242123349756294,159.482765362472,30.4425857067108,"posterior","random_dirichlet",NA,NA,NA,"baseline",26,2026414573
"stm",0.0690010938553385,0.0690010938553385,0.0690010938553385,0.0032508982619179,1.15085894684251,0.0555555555555556,0.196937244389017,159.419169420459,5.1460816860199,"posterior","spectral",NA,NA,NA,"baseline",26,2026414573
"gscamm",0.12002784331892,0.218986247376801,0.12002784331892,0.00398962511415634,0.64952523803975,0.833333333333333,1.67005039806199,229.832154727253,1.98705053329468,"structural","kmeans",40,TRUE,NA,"baseline",27,1968300777
"gscamm_boot",0.12002784331892,0.218986247376801,0.12002784331892,0.00398962511415634,0.767746632423197,1,21.3165109352981,229.832154727253,965.105203390121,"structural","kmeans",40,TRUE,NA,"baseline",27,1968300777
"lda",0.124688186158254,0.124688186158254,0.124688186158254,0.00478807410456535,0.798484981418276,0.111111111111111,0.185015788464808,198.818255649881,52.9800479412079,"posterior","random_dirichlet",NA,NA,NA,"baseline",27,1968300777
"stm",0.0526619790309672,0.0526619790309672,0.0526619790309672,0.00369793289697904,0.758952301738695,0.0833333333333333,0.137237863346314,194.484141231415,7.834388256073,"posterior","spectral",NA,NA,NA,"baseline",27,1968300777
"gscamm",0.155648892182151,0.224183694416304,0.155648892182151,0.00404613492931104,0.912501194800752,0.666666666666667,1.79948974137236,198.323337152321,2.00305795669556,"structural","kmeans",43,TRUE,NA,"baseline",28,99596103
"gscamm_boot",0.155648892182151,0.224183694416304,0.155648892182151,0.00404613492931104,1.03204040430071,1,23.23051214436,198.323337152321,906.601161956787,"structural","kmeans",43,TRUE,NA,"baseline",28,99596103
"lda",0.0620450186441506,0.0620450186441506,0.0620450186441506,0.00394099710238719,0.636719759031338,0.208333333333333,0.231057061393661,166.366088708033,33.7912764549255,"posterior","random_dirichlet",NA,NA,NA,"baseline",28,99596103
"stm",0.00897485615654592,0.00897485615654592,0.00897485615654592,0.000644765178473359,0.0846365094120197,0.5,0.120394470197099,165.748133845675,7.6886248588562,"posterior","spectral",NA,NA,NA,"baseline",28,99596103
"gscamm",0.143797670104656,0.241725010730654,0.143797670104656,0.00483629908198247,0.736558492504728,0.75,1.72280332339179,210.977849072913,2.80724835395813,"structural","kmeans",40,TRUE,NA,"baseline",29,1033505728
"gscamm_boot",0.143797670104656,0.241725010730654,0.143797670104656,0.00483629908198247,0.940139421170542,1,22.740485144807,210.977849072913,909.560256004333,"structural","kmeans",40,TRUE,NA,"baseline",29,1033505728
"lda",0.0829611991773724,0.0829611991773724,0.0829611991773724,0.00398226493108619,1.00679462170333,0,0.188856273538013,177.568033838868,72.1200125217438,"posterior","random_dirichlet",NA,NA,NA,"baseline",29,1033505728
"stm",0.0777610286217433,0.0777610286217433,0.0777610286217433,0.00279952364765952,1.09565721635354,0,0.138128138558132,177.634249009943,8.5518274307251,"posterior","spectral",NA,NA,NA,"baseline",29,1033505728
"gscamm",0.149011300579204,0.214169669127094,0.149011300579204,0.00388556005499476,0.958064175846129,0.666666666666667,1.70098455270166,192.694264289055,2.08647489547729,"structural","kmeans",42,TRUE,NA,"baseline",30,1966158718
"gscamm_boot",0.149011300579204,0.214169669127094,0.149011300579204,0.00388556005499476,0.98637943674634,1,21.296377831598,192.694264289055,992.934693336487,"structural","kmeans",42,TRUE,NA,"baseline",30,1966158718
"lda",0.100063562002673,0.100063562002673,0.100063562002673,0.00394099336208777,1.18695364963416,0.0277777777777778,0.267308696600743,160.998661760516,32.7004795074463,"posterior","random_dirichlet",NA,NA,NA,"baseline",30,1966158718
"stm",0.00915913652381295,0.00915913652381295,0.00915913652381295,0.000496955369514889,0.0665011865765945,0.597222222222222,0.116862773322056,160.358717339412,8.21710205078125,"posterior","spectral",NA,NA,NA,"baseline",30,1966158718
"gscamm",0.142004740631702,0.205657373173834,0.142004740631702,0.00401570982377535,0.829566833437651,0.569444444444444,1.62161822366747,195.436706333075,2.589035987854,"structural","kmeans",40,TRUE,NA,"baseline",31,1281680709
"gscamm_boot",0.142004740631702,0.205657373173834,0.142004740631702,0.00401570982377535,0.830870323392533,1,19.8388809412949,195.436706333075,991.889289617539,"structural","kmeans",40,TRUE,NA,"baseline",31,1281680709
"lda",0.0806963981358743,0.0806963981358743,0.0806963981358743,0.00403087436618496,1.00945101766704,0.152777777777778,0.23100558425793,163.808281760457,42.3111293315887,"posterior","random_dirichlet",NA,NA,NA,"baseline",31,1281680709
"stm",0.00910343551671641,0.00910343551671641,0.00910343551671641,0.000500712066151672,0.0800097876944687,0.486111111111111,0.119110076996239,163.808638879658,5.91210269927979,"posterior","spectral",NA,NA,NA,"baseline",31,1281680709
"gscamm",0.141226596123369,0.214692024343303,0.141226596123369,0.0039450058685391,0.937746030929663,0.625,1.70471032715012,191.111771420489,2.83753418922424,"structural","kmeans",39,TRUE,NA,"baseline",32,283800733
"gscamm_boot",0.141226596123369,0.214692024343303,0.141226596123369,0.0039450058685391,0.963109782686694,1,21.4673516047793,191.111771420489,947.691700935364,"structural","kmeans",39,TRUE,NA,"baseline",32,283800733
